company_name,stock_ticker,company_location,current_stock_price,description,Industry,Founded,Headquarters,Country/Territory,CEO and Chair,Employees,Revenue,Assets,Profits,Previous Close,Open,Day’s Range,Volume,52 Week Range,Market Cap,P/E Ratio (ttm),Forward P/E,Diluted EPS (ttm),Dividends Per Share,Dividend Yield,Ex-Dividend Date,Price to Sales (ttm),Price to Book Value (ttm),Price to Tangible Book Value (ttm),Total Enterprise Value to EBIT (ttm),Total Enterprise Value to EBITDA (ttm),Total Enterprise Value to Total Revenue (ttm),Gross Margin (ttm),Operating Margin (ttm),Net Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Revenue Growth (y/o/y),EBITDA (ttm),EBITDA Growth (y/o/y),Diluted EPS Growth (y/o/y),Total Cash,Total Cash Per Share,Total Debt,Total Debt/Equity,Current Ratio,Consensus Recommendation,Consensus Price,Range of Price Targets,Range of EPS,Consensus EPS,Consensus Revenue,Range of Revenue,Chief Executive Officer,CEO,CEO and President,Chairman,"Chair, CEO and Founder",Chairman of the board,Group CEO and President,Chairman and CEO,Vice Chairman,"CEO, President, and Chair","CEO, Director, and Deputy Party Committee Secretary",Co-CEO,"CEO, President, and Founder",President and CEO,"President, Canada",Chief Executive Officer,Co-CEOs & Co-Presidents,President,"Chairman, President and CEO",Executive Chair and CEO,President & CEO,CEO & Co-Founder,Co-CEOs,CEO & Founder,Chairman and Co-CEO,Chairman and Chief Executive Officer,"Co-Founder, Co-CEO and Chairman",Charter President,President & Representative Director,CEO and Chairman
JPMorgan Chase,NYSE: JPM,"New York, New York",$180.90,"JPMorgan Chase & Co. is a financial holding company. It provides financial and investment banking services. The firm offers a range of investment banking products and services in all capital markets, including advising on corporate strategy and structure, capital raising in equity and debt markets, risk management, market making in cash securities and derivative instruments, and brokerage and research. It operates through the following segments: Consumer and Community Banking, Corporate and Investment Bank, Commercial Banking and Asset and Wealth Management. The Consumer and Community Banking segment serves consumers and businesses through personal service at bank branches and through automated teller machine, online, mobile, and telephone banking. The Corporate and Investment Bank segment offers a suite of investment banking, market-making, prime brokerage, and treasury and securities products and services to a global client base of corporations, investors, financial institutions, government and municipal entities. The Commercial Banking segment delivers services to U.S. and its multinational clients, including corporations, municipalities, financial institutions, and non profit entities. It also provides financing to real estate investors and owners as well as financial solutions, including lending, treasury services, investment banking, and asset management. The Asset and Wealth Management segment provides asset and wealth management services. The company was founded in 1968 and is headquartered in New York, NY. Read Less",Banking and Financial Services,2000,"New York, New York",United States,James Dimon,"293,723",$179.9B,$3.7T,$41.8B,179.73,179.95,178.52 x 180.99,"7,024,009",123.11 x 180.99,$521.06B,11.15,11.36,16.23,4.10,2.34%,"Jan 4, 2024",3.64,1.73,2.13,N/A,N/A,N/A,N/A,N/A,33.94%,1.31%,15.98%,$66.06B,49.69,19.39%,N/A,N/A,34.24,$1.42T,210.17,$731.37B,N/A,N/A,Outperform,192.32,154.00 to 238.00,14.60 to 17.00,15.92,$161.98B,$156.51B to $168.89B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabian Oil Company (Saudi Aramco),,"Dhahran, Saudi Arabia",,"Saudi Arabian Oil Co. engages in the exploration, production, transportation, and sale of crude oil and natural gas. It operates through the following segments: Upstream, Downstream, and Corporate. The Upstream segment includes crude oil, natural gas and natural gas liquids exploration, field development, and production. The Downstream segment focuses on refining, logistics, power generation, and the marketing of crude oil, petroleum and petrochemical products, and related services to international and domestic customers. The Corporate segment offers supporting services including human resources, finance, and information technology. The company was founded on May 29, 1933 and is headquartered in Dhahran, Saudi Arabia. Read Less","Construction, Oil & Gas Operations, Mining and Chemicals",1933,Dhahran,Saudi Arabia,,"70,000",$589.5B,$661B,$156.4B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Amin bin Hasan Al-Nasser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICBC,,"Beijing, China",,"Industrial & Commercial Bank of China Ltd. engages in the provision of commercial banking and financial services. It operates through the following business segments: Corporate Banking, Personal Banking, Treasury Operations, and Others. The Corporate Banking segment provides corporate loans, trade financing, deposit-taking activities, corporate wealth management services, custody activities, and various types of corporate intermediary services to corporations, government agencies and financial institutions. The Personal Banking segment offers personal loans, deposit-taking activities, card business, personal wealth management services, and various types of personal intermediary services to individual customers. The Treasury Operations segment issues money market transactions, investment securities, foreign exchange transactions and the holding of derivative positions, for its own account or on behalf of customers. The Others segment includes assets, liabilities, income, and expenses that cannot be allocated to a segment. The company was founded on January 1, 1984 and is headquartered in Beijing, China. Read Less",Banking and Financial Services,1984,Beijing,China,,"427,587",$216.8B,$6.1T,$52.5B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Liao Lin,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China Construction Bank,,"Beijing, China",,"China Construction Bank Corp. engages in the provision of a wide range of financial services to corporate and personal customers. It operates through the following business segments: Corporate Banking, Personal Banking, Treasury, and Others. The Corporate Banking segment provides a range of financial products and services to corporations, government agencies and financial institutions, which comprises of corporate loans, trade financing, deposit taking and wealth management services, agency services, financial consulting and advisory services, cash management services, remittance and settlement services, custody services, and guarantee services. The Personal Banking segment provides personal loans, deposit taking  and wealth management services, card business, remittance services, and agency services to individual customers. The Treasury segment represents inter-bank money market transactions, repurchase and resale transactions, investments in debt securities, and trade of derivatives and foreign currency. The Others segment refers to equity investments and revenues, results, assets and liabilities of overseas branches and subsidiaries. The company was founded in October 1954 and is headquartered in Beijing, China. Read Less",Banking,1954,Beijing,China,,"352,588",$203.1B,$5T,$48.3B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jinliang Zhang,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agricultural Bank of China,,"Beijing, China",,"Agricultural Bank of China engages in the provision of international commercial banking and financial services. It operates through the following segments: Corporate Banking, Personal Banking, Treasury Operations and Others & Unallocated. The Corporate Banking segment provides financial products and services to corporations, government agencies and financial institutions. The Personal Banking segment provides financial products and services to individual customers. The Treasury Operations segment conducts money market or repurchases transactions, debt instrument investments, and holding of derivative positions. The Others & Unallocated segment deals with primarily equity investments. The company was founded on July 10, 1951 and is headquartered in Beijing, China. Read Less",Banking and Financial Services,1951,Beijing,China,,"459,000",$186.1B,$5.4T,$37.9B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shu Gu,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank of America,NYSE: BAC,"Charlotte, North Carolina",$33.70,"Bank of America Corp. is a bank and financial holding company, which engages in the provision of banking and nonbank financial services. It operates through the following segments: Consumer Banking, Global Wealth and Investment Management, Global Banking, Global Markets, and All Other. The Consumer Banking segment offers credit, banking, and investment products and services to consumers and small businesses. The Global Wealth and Investment Management provides client experience through a network of financial advisors focused on to meet their needs through a full set of investment management, brokerage, banking, and retirement products. The Global Banking segment deals with lending-related products and services, integrated working capital management and treasury solutions to clients, and underwriting and advisory services. The Global Markets segment includes sales and trading services, as well as research, to institutional clients across fixed-income, credit, currency, commodity, and equity businesses. The All Other segment consists of asset and liability management activities, equity investments, non-core mortgage loans and servicing activities, the net impact of periodic revisions to the mortgage servicing rights (MSR) valuation model for both core and non-core MSRs, other liquidating businesses, residual expense allocations and other. The company was founded by Amadeo Peter Giannini in 1904 is headquartered in Charlotte, NC. Read Less",Banking and Financial Services,1904,"Charlotte, North Carolina",United States,Brian Moynihan,"171,430",$133.8B,$3.2T,$28.6B,33.96,33.36,33.17 x 33.74,"37,847,071",24.96 x 35.10,$265.31B,10.94,10.73,3.08,0.92,2.83%,"Nov 30, 2023",2.87,1.01,1.37,N/A,N/A,N/A,N/A,N/A,28.15%,0.85%,9.39%,$41.65B,11.73,1.93%,N/A,N/A,-3.45,$938.72B,42.19,$661.62B,N/A,N/A,Outperform,37.72,31.00 to 50.00,2.90 to 3.35,3.14,$99.86B,$97.9B to $101.24B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alphabet, GOOGL,"Mountain View, California",$142.55,"Alphabet, Inc. is a holding company, which engages in the business of acquisition and operation of different companies. It operates through the Google and Other Bets segments. The Google segment includes its main Internet products such as ads, Android, Chrome, hardware, Google Cloud, Google Maps, Google Play, Search, and YouTube. The Other Bets segment consists of businesses such as Access, Calico, CapitalG, GV, Verily, Waymo, and X. The company was founded by Lawrence E. Page and Sergey Mikhaylovich Brin on October 2, 2015 and is headquartered in Mountain View, CA.","IT, Internet, Software & Services",2015,"Mountain View, California",United States,,"190,234",$282.8B,$369.5B,$58.6B,141.12,141.45,140.68 x 142.69,"23,224,240",88.58 x 153.78,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A to N/A,N/A to N/A,N/A,N/A,N/A to N/A,Sundar Pichai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ExxonMobil,NYSE: XOM,"Irving, Texas",$104.85,"Exxon Mobil Corp. engages in the exploration, development, and distribution of oil, gas, and petroleum products. It operates through the following segments: Upstream, Downstream and Chemical. The Upstream segment produces crude oil and natural gas. The Downstream segment manufactures and trades petroleum products. The Chemical segment offers petrochemicals. The company was founded by John D. Rockefeller in 1882 and is headquartered in Irving, TX.","Construction, Chemicals, Raw Materials",1999,"Irving, Texas",United States,,"37,200",$393.2B,$369.4B,$61.7B,102.75,103.02,102.99 x 104.98,"20,991,536",95.77 x 120.70,$416.36B,11.80,12.17,8.89,3.68,3.70%,"Feb 13, 2024",1.26,2.03,2.03,7.66,5.85,1.28,32.02%,14.87%,10.65%,8.43%,18.00%,$334.7B,83.46,-15.92%,$67.89B,-25.50%,-32.96,$31.54B,7.94,$41.57B,19.56%,1.48,Outperform,124.18,105.00 to 149.00,7.02 to 9.36,8.61,$341.66B,$322.03B to $373.95B,Darren W. Woods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft, MSFT,"Redmond, Washington",$402.18,"Microsoft Corp. engages in the development and support of software, services, devices, and solutions. It operates through the following business segments: Productivity and Business Processes; Intelligent Cloud; and More Personal Computing. The Productivity and Business Processes segment comprises products and services in the portfolio of productivity, communication, and information services of the company spanning a variety of devices and platform. The Intelligent Cloud segment refers to the public, private, and hybrid serve products and cloud services of the company which can power modern business. The More Personal Computing segment encompasses products and services geared towards the interests of end users, developers, and IT professionals across all devices. The firm also offers operating systems; cross-device productivity applications; server applications; business solution applications; desktop and server management tools; software development tools; video games; personal computers, tablets; gaming and entertainment consoles; other intelligent devices; and related accessories. The company was founded by Paul Gardner Allen and William Henry Gates III in 1975 and is headquartered in Redmond, WA. Read Less",IT Software & Services,1975,"Redmond, Washington",United States,,"122,000",$207.6B,$380.1B,$69B,402.79,400.17,397.22 x 402.29,"18,521,363",245.61 x 420.82,$2.99T,36.36,32.96,11.06,2.86,0.74%,"Feb 14, 2024",13.14,12.54,33.42,29.75,24.84,13.26,69.81%,44.59%,36.27%,15.19%,39.17%,$227.58B,30.61,11.51%,$118.43B,21.91%,22.93,$80.98B,2.33,$111.36B,46.74%,1.22,Buy,465.47,399.70 to 600.00,11.47 to 13.53,12.20,$260.18B,$253.25B to $265.41B,Satya Nadella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apple, AAPL,"Cupertino, California",$182.32,"Apple, Inc. engages in the design, manufacture, and sale of smartphones, personal computers, tablets, wearables and accessories, and other variety of related services. It operates through the following geographical segments: Americas, Europe, Greater China, Japan, and Rest of Asia Pacific. The Americas segment includes North and South America. The Europe segment consists of European countries, as well as India, the Middle East, and Africa. The Greater China segment comprises of China, Hong Kong, and Taiwan. The Rest of Asia Pacific segment includes Australia and Asian countries. Its products and services include iPhone, Mac, iPad, AirPods, Apple TV, Apple Watch, Beats products, Apple Care, iCloud, digital content stores, streaming, and licensing services. The company was founded by Steven Paul Jobs, Ronald Gerald Wayne, and Stephen G. Wozniak on April 1, 1976 and is headquartered in Cupertino, CA. Read Less","Semiconductors, Electronics, Electrical Engineering",1976,"Cupertino, California",United States,,"164,000",$385.1B,$332.2B,$94.3B,181.56,181.94,180.66 x 182.89,"41,375,204",143.90 x 199.62,$2.82T,28.40,27.35,6.42,0.95,0.53%,"Feb 9, 2024",7.40,38.04,38.04,23.18,18.84,7.13,45.03%,30.76%,26.16%,21.18%,154.27%,$385.71B,24.65,-0.47%,$130.11B,3.85%,9.29,$73.1B,2.64,$108.04B,145.80%,1.07,Outperform,200.65,125.00 to 250.00,6.09 to 7.18,6.67,$392.89B,$372.89B to $414.21B,Tim Cook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
