company_name,Ticker1,Industry,Country/Territory,Employees,Revenue,Assets,Profits,Sector,P/E Ratio (ttm),Forward P/E,Diluted EPS (ttm),Dividends Per Share,Dividend Yield,Price to Sales (ttm),Price to Book Value (ttm),Gross Margin (ttm),Operating Margin (ttm),Net Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue Per Share (ttm),Revenue Growth (y/o/y),Total Cash Per Share,Total Debt/Equity,Current Ratio,Market Cap USD,EBITDA (ttm) USD,Total Cash USD,Total Debt USD,segment_list,business_segments_homologation
JPMorgan Chase,JPM,Banking and Financial Services,United States,293723.0,179.9,3700.0,41.8,Financial Services,12.257389,12.227272,16.24,4.6,0.0234,3.9269252,1.9057556,,0.36247003,0.33938,0.01314,0.15979,49.687,0.111,493.447,,,573.366403072,,1421.31003392,731.371995136,"['Consumer and Community Banking', 'Corporate and Investment Bank', 'Commercial Banking and Asset and Wealth Management']","Investment Banking, Asset Management, Commercial Banking, Consumer Banking, Digital Banking, Cryptocurrency Services"
Saudi Arabian Oil Company (Saudi Aramco),2222.SR,"Construction, Oil & Gas Operations, Mining and Chemicals",Saudi Arabia,70000.0,589.5,661.0,156.4,Energy,16.684492,16.956522,1.87,1.26,0.0403,4.066563,4.9188085,0.5693,0.43273997,0.24389,0.21826,0.26725,7.673,-0.057,1.592,16.704,2.304,2000.50044567552,252.15941738496,102.10423209984,76.894523392,"['Upstream', 'Downstream', 'and Corporate']","Upstream Oil and Gas, Downstream Oil and Gas, Petrochemicals, Renewable Energy, Energy Storage"
ICBC,601398.SS,Banking and Financial Services,China,427587.0,216.8,6100.0,52.5,Financial Services,5.381443,5.117647,0.97,0.3,0.0581,2.6329381,0.5634715,,0.64735,0.55334,0.008640001,0.102239996,0.714,-0.021,16.785,,,253.621212020736,,879.387100053504,335.063439900672,"['Corporate Banking', 'Personal Banking', 'Treasury Operations', 'and Others']","Corporate Banking, Personal Banking, Asset Management, Investment Banking, Fintech Services"
China Construction Bank,601939.SS,Banking,China,352588.0,203.1,5000.0,48.3,Financial Services,5.160306,4.9343066,1.31,0.39,0.0575,1.6753465,0.5875706,,0.67156,0.48811,0.0091699995,0.111990005,2.715,0.035,9.131,,,167.292782641152,,335.591448772608,471.762979258368,"['Corporate Banking', 'Personal Banking', 'Treasury', 'and Others']","Corporate Banking, Personal Banking, Investment Banking, Asset Management, Digital Banking"
Agricultural Bank of China,601288.SS,Banking and Financial Services,China,459000.0,186.1,5400.0,37.9,Financial Services,5.830986,5.376623,0.71,0.22,0.0537,2.3953102,0.62031764,,0.57943,0.45519,0.0074199997,0.09865,1.673,0.036,17.97,,,208.051583975424,,924.51532701696,544.144009199616,"['Corporate Banking', 'Personal Banking', 'Treasury Operations and Others & Unallocated']","Corporate Banking, Personal Banking, Agricultural Finance, Rural Development, Fintech Services"
Bank of America,BAC,Banking and Financial Services,United States,171430.0,133.8,3200.0,28.6,Financial Services,12.178571,11.832807,3.08,0.96,0.026099999,3.1424491,1.1250075,,0.1498,0.28151,0.00851,0.09388,11.731,-0.11,101.758,,,295.977877504,,801.104986112,681.469018112,"['Consumer Banking', 'Global Wealth and Investment Management', 'Global Banking', 'Global Markets', 'and All Other']","Consumer Banking, Wealth Management, Investment Banking, Commercial Banking, Digital Banking"
Alphabet,GOOGL,"IT, Internet, Software & Services",United States,190234.0,282.8,369.5,58.6,Communication Services,25.448277,18.82653,5.8,,,5.987088,6.489909,0.56937003,0.28849,0.24007,0.14366001,0.27356002,24.338,0.135,8.921,10.54,2.097,1840.394928128,100.171997184,110.916001792,29.866999808,[],"Search Engine, Online Advertising, Cloud Computing, Artificial Intelligence, Autonomous Vehicles"
ExxonMobil,XOM,"Construction, Chemicals, Raw Materials",United States,37200.0,393.2,369.4,61.7,Energy,12.766028,12.809256,8.89,3.8,0.0336,1.3311247,2.2005272,0.32831,0.11217,0.10645001,0.079390004,0.18000999,83.488,-0.118,7.949,22.447,1.479,450.310144,67.65400064,31.538999296,47.70899968,"['Upstream', 'Downstream and Chemical']","Upstream Oil and Gas, Downstream Oil and Gas, Petrochemicals, Renewable Energy, Carbon Capture and Storage"
Microsoft,MSFT,IT Software & Services,United States,122000.0,207.6,380.1,69.0,Technology,38.857014,34.879772,11.05,3.0,0.0070999996,14.018658,13.3927,0.69815004,0.43585998,0.36269,0.1519,0.39174,30.612,0.176,10.899,46.736,1.218,3190.408085504,118.427000832,80.981999616,111.358001152,['Productivity and Business Processes; Intelligent Cloud; and More Personal Computing'],"Software, Cloud Computing, Hardware, Artificial Intelligence, Quantum Computing"
Apple,AAPL,"Semiconductors, Electronics, Electrical Engineering",United States,164000.0,385.1,332.2,94.3,Technology,26.651632,26.00455,6.43,0.96,0.0054,6.8608685,35.754223,0.45027,0.33764,0.26163,0.21181,1.5426899,24.648,0.021,4.734,145.803,1.073,2646.278144,130.108997632,73.10000128,108.040003584,"['Americas', 'Europe', 'Greater China', 'Japan', 'and Rest of Asia Pacific']","Consumer Electronics, Software, Services, Wearables, Augmented Reality"
