company_name,Ticker1,description,Industry,Country/Territory,Employees,Revenue,Assets,Profits,Nombre del archivo,Sector,Symbol,Short Name,Long Name,Financial Currency,Market Cap,P/E Ratio (ttm),Forward P/E,Diluted EPS (ttm),Dividends Per Share,Dividend Yield,Ex-Dividend Date,Price to Sales (ttm),Price to Book Value (ttm),Gross Margin (ttm),Operating Margin (ttm),Net Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Revenue Growth (y/o/y),EBITDA (ttm),Total Cash,Total Cash Per Share,Total Debt,Total Debt/Equity,Current Ratio,Range of Price Targets
JPMorgan Chase,JPM,"JPMorgan Chase & Co. is a financial holding company. It provides financial and investment banking services. The firm offers a range of investment banking products and services in all capital markets, including advising on corporate strategy and structure, capital raising in equity and debt markets, risk management, market making in cash securities and derivative instruments, and brokerage and research. It operates through the following segments: Consumer and Community Banking, Corporate and Investment Bank, Commercial Banking and Asset and Wealth Management. The Consumer and Community Banking segment serves consumers and businesses through personal service at bank branches and through automated teller machine, online, mobile, and telephone banking. The Corporate and Investment Bank segment offers a suite of investment banking, market-making, prime brokerage, and treasury and securities products and services to a global client base of corporations, investors, financial institutions, government and municipal entities. The Commercial Banking segment delivers services to U.S. and its multinational clients, including corporations, municipalities, financial institutions, and non profit entities. It also provides financing to real estate investors and owners as well as financial solutions, including lending, treasury services, investment banking, and asset management. The Asset and Wealth Management segment provides asset and wealth management services. The company was founded in 1968 and is headquartered in New York, NY. Read Less",Banking and Financial Services,United States,"293,723",$179.9B,$3.7T,$41.8B,JPM.json,Financial Services,JPM,JP Morgan Chase & Co.,JPMorgan Chase & Co.,USD,573366403072,12.257389,12.227272,16.24,4.6,0.0234,1712188800,3.9269252,1.9057556,N/A,0.36247003,0.33938,0.01314,0.15979,N/A,49.687,0.111,N/A,1421310033920,493.447,731371995136,N/A,N/A,"(157.7, 221.0)"
Saudi Arabian Oil Company (Saudi Aramco),2222.SR,"Saudi Arabian Oil Co. engages in the exploration, production, transportation, and sale of crude oil and natural gas. It operates through the following segments: Upstream, Downstream, and Corporate. The Upstream segment includes crude oil, natural gas and natural gas liquids exploration, field development, and production. The Downstream segment focuses on refining, logistics, power generation, and the marketing of crude oil, petroleum and petrochemical products, and related services to international and domestic customers. The Corporate segment offers supporting services including human resources, finance, and information technology. The company was founded on May 29, 1933 and is headquartered in Dhahran, Saudi Arabia. Read Less","Construction, Oil & Gas Operations, Mining and Chemicals",Saudi Arabia,"70,000",$589.5B,$661B,$156.4B,2222.SR.json,Energy,2222.SR,Saudi Arabian Oil Co.,Saudi Arabian Oil Company,SAR,7549058285568,16.684492,16.956522,1.87,1.26,0.0403,1710374400,4.066563,4.9188085,0.5693,0.43273997,0.24389,0.21826,0.26725,N/A,7.673,-0.057,951544971264,385298989056,1.592,290168012800,16.704,2.304,"(30.98, 37.94)"
ICBC,601398.SS,"Industrial & Commercial Bank of China Ltd. engages in the provision of commercial banking and financial services. It operates through the following business segments: Corporate Banking, Personal Banking, Treasury Operations, and Others. The Corporate Banking segment provides corporate loans, trade financing, deposit-taking activities, corporate wealth management services, custody activities, and various types of corporate intermediary services to corporations, government agencies and financial institutions. The Personal Banking segment offers personal loans, deposit-taking activities, card business, personal wealth management services, and various types of personal intermediary services to individual customers. The Treasury Operations segment issues money market transactions, investment securities, foreign exchange transactions and the holding of derivative positions, for its own account or on behalf of customers. The Others segment includes assets, liabilities, income, and expenses that cannot be allocated to a segment. The company was founded on January 1, 1984 and is headquartered in Beijing, China. Read Less",Banking and Financial Services,China,"427,587",$216.8B,$6.1T,$52.5B,601398.SS.json,Financial Services,601398.SS,INDUSTRIAL & COMMERCIAL BK OF C,Industrial and Commercial Bank of China Limited,CNY,1725314367488,5.381443,5.117647,0.97,0.3,0.0581,1689552000,2.6329381,0.5634715,N/A,0.64735,0.55334,0.008640001,0.102239996,N/A,0.714,-0.021,N/A,5982225170432,16.785,2279343128576,N/A,N/A,"(3.57, 6.3)"
China Construction Bank,601939.SS,"China Construction Bank Corp. engages in the provision of a wide range of financial services to corporate and personal customers. It operates through the following business segments: Corporate Banking, Personal Banking, Treasury, and Others. The Corporate Banking segment provides a range of financial products and services to corporations, government agencies and financial institutions, which comprises of corporate loans, trade financing, deposit taking and wealth management services, agency services, financial consulting and advisory services, cash management services, remittance and settlement services, custody services, and guarantee services. The Personal Banking segment provides personal loans, deposit taking  and wealth management services, card business, remittance services, and agency services to individual customers. The Treasury segment represents inter-bank money market transactions, repurchase and resale transactions, investments in debt securities, and trade of derivatives and foreign currency. The Others segment refers to equity investments and revenues, results, assets and liabilities of overseas branches and subsidiaries. The company was founded in October 1954 and is headquartered in Beijing, China. Read Less",Banking,China,"352,588",$203.1B,$5T,$48.3B,601939.SS.json,Financial Services,601939.SS,CHINA CONSTRUCTION BANK,China Construction Bank Corporation,CNY,1138046140416,5.160306,4.9343066,1.31,0.39,0.0575,1689292800,1.6753465,0.5875706,N/A,0.67156,0.48811,0.0091699995,0.111990005,N/A,2.715,0.035,N/A,2282935025664,9.131,3209271967744,N/A,N/A,"(5.6, 8.78)"
Agricultural Bank of China,601288.SS,"Agricultural Bank of China engages in the provision of international commercial banking and financial services. It operates through the following segments: Corporate Banking, Personal Banking, Treasury Operations and Others & Unallocated. The Corporate Banking segment provides financial products and services to corporations, government agencies and financial institutions. The Personal Banking segment provides financial products and services to individual customers. The Treasury Operations segment conducts money market or repurchases transactions, debt instrument investments, and holding of derivative positions. The Others & Unallocated segment deals with primarily equity investments. The company was founded on July 10, 1951 and is headquartered in Beijing, China. Read Less",Banking and Financial Services,China,"459,000",$186.1B,$5.4T,$37.9B,601288.SS.json,Financial Services,601288.SS,AGRICULTURAL BANK OF CHINA,Agricultural Bank of China Limited,CNY,1415316897792,5.830986,5.376623,0.71,0.22,0.0537,1689638400,2.3953102,0.62031764,N/A,0.57943,0.45519,0.0074199997,0.09865,N/A,1.673,0.036,N/A,6289219911680,17.97,3701659926528,N/A,N/A,"(2.36, 5.29)"
Bank of America,BAC,"Bank of America Corp. is a bank and financial holding company, which engages in the provision of banking and nonbank financial services. It operates through the following segments: Consumer Banking, Global Wealth and Investment Management, Global Banking, Global Markets, and All Other. The Consumer Banking segment offers credit, banking, and investment products and services to consumers and small businesses. The Global Wealth and Investment Management provides client experience through a network of financial advisors focused on to meet their needs through a full set of investment management, brokerage, banking, and retirement products. The Global Banking segment deals with lending-related products and services, integrated working capital management and treasury solutions to clients, and underwriting and advisory services. The Global Markets segment includes sales and trading services, as well as research, to institutional clients across fixed-income, credit, currency, commodity, and equity businesses. The All Other segment consists of asset and liability management activities, equity investments, non-core mortgage loans and servicing activities, the net impact of periodic revisions to the mortgage servicing rights (MSR) valuation model for both core and non-core MSRs, other liquidating businesses, residual expense allocations and other. The company was founded by Amadeo Peter Giannini in 1904 is headquartered in Charlotte, NC. Read Less",Banking and Financial Services,United States,"171,430",$133.8B,$3.2T,$28.6B,BAC.json,Financial Services,BAC,Bank of America Corporation,Bank of America Corporation,USD,295977877504,12.178571,11.832807,3.08,0.96,0.026099999,1709164800,3.1424491,1.1250075,N/A,0.1498,0.28151,0.00851,0.09388,N/A,11.731,-0.11,N/A,801104986112,101.758,681469018112,N/A,N/A,"(30.38, 42.34)"
Alphabet,GOOGL,"Alphabet, Inc. is a holding company, which engages in the business of acquisition and operation of different companies. It operates through the Google and Other Bets segments. The Google segment includes its main Internet products such as ads, Android, Chrome, hardware, Google Cloud, Google Maps, Google Play, Search, and YouTube. The Other Bets segment consists of businesses such as Access, Calico, CapitalG, GV, Verily, Waymo, and X. The company was founded by Lawrence E. Page and Sergey Mikhaylovich Brin on October 2, 2015 and is headquartered in Mountain View, CA.","IT, Internet, Software & Services",United States,"190,234",$282.8B,$369.5B,$58.6B,GOOGL.json,Communication Services,GOOGL,Alphabet Inc.,Alphabet Inc.,USD,1840394928128,25.448277,18.82653,5.8,N/A,N/A,N/A,5.987088,6.489909,0.56937003,0.28849,0.24007,0.14366001,0.27356002,N/A,24.338,0.135,100171997184,110916001792,8.921,29866999808,10.54,2.097,"(114.76, 180.0)"
ExxonMobil,XOM,"Exxon Mobil Corp. engages in the exploration, development, and distribution of oil, gas, and petroleum products. It operates through the following segments: Upstream, Downstream and Chemical. The Upstream segment produces crude oil and natural gas. The Downstream segment manufactures and trades petroleum products. The Chemical segment offers petrochemicals. The company was founded by John D. Rockefeller in 1882 and is headquartered in Irving, TX.","Construction, Chemicals, Raw Materials",United States,"37,200",$393.2B,$369.4B,$61.7B,XOM.json,Energy,XOM,Exxon Mobil Corporation,Exxon Mobil Corporation,USD,450310144000,12.766028,12.809256,8.89,3.8,0.0336,1707782400,1.3311247,2.2005272,0.32831,0.11217,0.10645001,0.079390004,0.18000999,N/A,83.488,-0.118,67654000640,31538999296,7.949,47708999680,22.447,1.479,"(96.66, 137.16)"
Microsoft,MSFT,"Microsoft Corp. engages in the development and support of software, services, devices, and solutions. It operates through the following business segments: Productivity and Business Processes; Intelligent Cloud; and More Personal Computing. The Productivity and Business Processes segment comprises products and services in the portfolio of productivity, communication, and information services of the company spanning a variety of devices and platform. The Intelligent Cloud segment refers to the public, private, and hybrid serve products and cloud services of the company which can power modern business. The More Personal Computing segment encompasses products and services geared towards the interests of end users, developers, and IT professionals across all devices. The firm also offers operating systems; cross-device productivity applications; server applications; business solution applications; desktop and server management tools; software development tools; video games; personal computers, tablets; gaming and entertainment consoles; other intelligent devices; and related accessories. The company was founded by Paul Gardner Allen and William Henry Gates III in 1975 and is headquartered in Redmond, WA. Read Less",IT Software & Services,United States,"122,000",$207.6B,$380.1B,$69B,MSFT.json,Technology,MSFT,Microsoft Corporation,Microsoft Corporation,USD,3190408085504,38.857014,34.879772,11.05,3.0,0.0070999996,1715731200,14.018658,13.3927,0.69815004,0.43585998,0.36269,0.1519,0.39174,N/A,30.612,0.176,118427000832,80981999616,10.899,111358001152,46.736,1.218,"(274.41, 503.01)"
Apple,AAPL,"Apple, Inc. engages in the design, manufacture, and sale of smartphones, personal computers, tablets, wearables and accessories, and other variety of related services. It operates through the following geographical segments: Americas, Europe, Greater China, Japan, and Rest of Asia Pacific. The Americas segment includes North and South America. The Europe segment consists of European countries, as well as India, the Middle East, and Africa. The Greater China segment comprises of China, Hong Kong, and Taiwan. The Rest of Asia Pacific segment includes Australia and Asian countries. Its products and services include iPhone, Mac, iPad, AirPods, Apple TV, Apple Watch, Beats products, Apple Care, iCloud, digital content stores, streaming, and licensing services. The company was founded by Steven Paul Jobs, Ronald Gerald Wayne, and Stephen G. Wozniak on April 1, 1976 and is headquartered in Cupertino, CA. Read Less","Semiconductors, Electronics, Electrical Engineering",United States,"164,000",$385.1B,$332.2B,$94.3B,AAPL.json,Technology,AAPL,Apple Inc.,Apple Inc.,USD,2646278144000,26.651632,26.00455,6.43,0.96,0.0054,1707436800,6.8608685,35.754223,0.45027,0.33764,0.26163,0.21181,1.5426899,N/A,24.648,0.021,130108997632,73100001280,4.734,108040003584,145.803,1.073,"(145.44, 230.13)"
Shell,SHEL,"Shell Plc engages in the oil and natural gas production. It operates through the following segments: Integrated Gas, Upstream, Downstream, and Corporate. The Integrated Gas segment manages liquefied natural gas activities and the conversion of natural gas into gas to liquids fuels and other products. The Upstream segment manages the exploration for and extraction of crude oil, natural gas, and natural gas liquids. The Downstream segment manages different oil products and chemical activities as part of an integrated value chain, including trading activities, what turns crude oil and other feedstock into a range of products which are moved and marketed around the world for domestic, and industrial and transport use. The Corporate segment comprises holdings and treasury, self-insurance activities, and headquarters and central functions of the company. Read Less","Construction, Chemicals, Raw Materials",United Kingdom,"93,000",$365.9B,$429.2B,$43.5B,SHEL.json,Energy,SHEL,Shell PLC,Shell plc,USD,215204855808,11.72807,7.818713,5.7,2.75,0.041100003,1707955200,0.6796944,2.3371673,0.24791999,0.03953,0.061139997,0.0521,0.10309,N/A,94.044,-0.223,46217998336,38774001664,5.986,81540997120,43.29,1.405,"(66.0, 85.0)"
Bank of China,601988.SS,"Bank of China Ltd. engages in the provision of banking and financial services. It operates through the following business segments: Corporate Banking, Personal Banking, Treasury Operations, Investment Banking, Insurance, and Others. The Corporate Banking segment offers services to corporate customers, government authorities, and financial institutions such as current accounts, deposits, overdrafts, loans, custody, trade related products and other credit facilities, foreign currency, and derivative products. The Personal Banking segment provides services to retail customers such as current accounts, savings, deposits, investment savings products, credit and debit cards, consumer loans, and mortgages. The Treasury Operations segment deals in foreign exchange transactions, customer-based interest rate and foreign exchange derivative transactions, money market transactions, proprietary trading, and asset and liability management. The Investment Banking segment includes debt and equity underwriting and financial advisory, sales and trading of securities, stock brokerage, investment research and asset management services, and private equity investment services. The Insurance segment specializes in the underwriting of general and life insurance business and insurance agency services. The Others segment comprises of investment holding and miscellaneous activities. The company was founded on February 5, 1912 and is headquartered in Beijing, China. Read Less",Banking,China,"306,182",$158.2B,$4.4T,$33.2B,601988.SS.json,Financial Services,601988.SS,BANK OF CHINA LTD,Bank of China Limited,CNY,1174258319360,5.986301,5.6025643,0.73,0.23,0.0531,1689552000,2.1809783,0.5939114,N/A,0.56478,0.42740002,0.00808,0.09365,N/A,1.807,0.039,N/A,2831384051712,9.618,5541169987584,N/A,N/A,"(3.15, 5.25)"
Toyota,TM,"Toyota Motor Corp. engages in the manufacture and sale of motor vehicles and parts. It operates through the following segments: Automotive, Financial Services, and All Other. The Automotive segment designs, manufactures, assembles and sells passenger cars, minivans, trucks, and related vehicle parts and accessories. It is also involved in the development of intelligent transport systems. The Financial Services segment offers purchase or lease financing to Toyota vehicle dealers and customers. It also provides retail leasing through lease contracts purchase by dealers. The All Others segment deals with the design and manufacture and sale of housing, telecommunications and other businesses. The company was founded by Kiichiro Toyoda on August 28, 1937 and is headquartered in Toyota, Japan. Read Less",Auto Brands,Japan,"372,817",$270.5B,$542.5B,$18.5B,TM.json,Consumer Cyclical,TM,Toyota Motor Corporation,Toyota Motor Corporation,JPY,338959826944,11.287252,21.963318,22.28,4.01,0.0162,1695859200,0.0077542136,0.10415372,0.19864,0.1396,0.10293,0.039049998,0.14717,N/A,2018.0162,0.234,6546038194176,12234069639168,907.178,33959903756288,101.3,1.177,"(165.05, 260.51)"
