ID;Label;Definition
1;Consumer Banking; Banking services for individual customers, including deposits, loans, and credit cards.
2;Digital Banking; Online and mobile banking services allowing customers to manage their accounts digitally.
3;Cryptocurrency Services; Financial services related to digital currencies, including exchanges and wallets.
4;Renewable Energy; Production of energy from sustainable sources like wind, solar, and hydro.
5;Energy Storage; Technologies for storing energy, such as batteries and pumped hydro storage.
6;Investment Banking; Financial services that assist companies in raising capital and provide advisory services.
7;Fintech Services; Technology-driven financial services, including payment processing and online lending.
8;Asset Management; Professional management of investments on behalf of clients.
9;Rural Development; Initiatives aimed at improving the economic and social well-being of rural communities.
10;Commercial Banking; Banking services for businesses, including loans, deposits, and treasury management.
11;Artificial Intelligence; Technologies that enable machines to perform tasks that typically require human intelligence.
12;Autonomous Vehicles; Vehicles capable of driving themselves without human intervention.
13;Carbon Capture and Storage; Technologies to capture and store carbon dioxide emissions to mitigate climate change.
14;Quantum Computing; Advanced computing technology based on quantum mechanics principles.
15;Wearables; Smart electronic devices worn on the body, like fitness trackers and smartwatches.
16;Augmented Reality; Technology that overlays digital information onto the real world.
17;Hydrogen Fuel Cells; Devices that generate electricity through a chemical reaction between hydrogen and oxygen.
18;Mobile Devices; Portable electronic devices such as smartphones and tablets.
19;Internet of Things; Network of interconnected devices that can collect and exchange data.
20;Digital Health; Use of digital technologies to improve health and healthcare services.
21;Data Analytics; Analysis of data to extract useful insights and inform decision-making.
22;Wealth Management; Financial advisory services that help clients manage and grow their wealth.
23;5G Networks; The fifth generation of mobile network technology, offering faster speeds and more reliable connections.
24;Fintech; Technology-driven innovations in financial services.
25;Healthcare Services; Medical and wellness services provided to individuals.
26;Autonomous Driving; Technologies that enable vehicles to navigate and drive without human input.
27;Ride-sharing; Services that connect passengers with drivers for shared transportation.
28;Institutional Securities; Financial instruments traded by large institutions like banks and hedge funds.
29;Digital Finance; Financial services and products delivered via digital platforms.
30;Metaverse; Virtual environments where users can interact and engage in various activities.
31;Cloud Computing; Delivery of computing services over the internet, including storage and processing power.
32;Digital Media; Content delivered and accessed through digital platforms.
33;Cybersecurity; Protection of digital systems and data from cyber threats and attacks.
34;Vaccines; Biological preparations that provide immunity to specific diseases.
35;Gene Therapy; Treatment that involves altering the genes inside a patient's cells to treat or prevent disease.
36;Luxury Goods; High-end products that are often associated with status and prestige.
37;Semiconductor Equipment; Machinery and tools used in the production of semiconductor devices.
38;Advanced Packaging; Innovative methods of packaging semiconductor devices to enhance performance.
39;Streaming Services; Platforms that deliver digital content, such as movies and music, via the internet.
40;Wireless Telecommunications; Communication services that use radio waves to transmit data without wires.
41;Hydrogen Production; Processes to produce hydrogen fuel, typically for energy applications.
42;Logistics; Management of the flow of goods from origin to consumption.
43;Semiconductors; Materials and devices essential for modern electronic equipment.
44;Biofuels; Fuels derived from biological sources, such as plants and algae.
45;Commercial Vehicles; Vehicles used for transporting goods or passengers for business purposes.
46;Retirement Planning; Financial planning to ensure sufficient resources during retirement.
47;Digital Insurance; Insurance products and services delivered through digital platforms.
48;Digital Payments; Electronic methods of transferring money between parties.
49;Lending; Providing funds to borrowers with the expectation of repayment, usually with interest.
50;Healthcare; Services and products related to the maintenance or improvement of health.
51;Digital Solutions; Technology-based tools and services designed to solve business problems.
52;Pharmaceutical Distribution; Distribution of pharmaceutical products from manufacturers to healthcare providers.
53;Engineering Services; Professional services that apply engineering principles to design and implement solutions.
54;Sustainable Building; Construction practices that reduce environmental impact and improve energy efficiency.
55;Outdoor Products; Goods designed for outdoor activities and recreation.
56;Installation Services; Services that involve setting up and installing products or systems.
57;Population Health Management; Strategies to improve the health outcomes of a specific population.
58;Solar Energy; Energy harnessed from the sun, typically using photovoltaic cells.
59;Real Estate; Property consisting of land and buildings, and the business of buying, selling, or renting properties.
60;Telecommunications; Transmission of information over distances for communication purposes.
61;Hard Seltzer; Alcoholic beverage made from carbonated water, alcohol, and flavorings.
62;Cannabis-infused Beverages; Drinks that contain cannabinoids, such as THC or CBD.
63;Oncology; The branch of medicine that specializes in the diagnosis and treatment of cancer.
64;Neuroscience; The scientific study of the nervous system, including the brain.
65;Finance; Management of money, including investments, banking, and credit.
66;Electronics; Devices and systems that use electric currents to perform various functions.
67;Immunology; The study of the immune system and its role in protecting the body from disease.
68;Hypersonics; Technologies related to vehicles or missiles traveling at speeds greater than five times the speed of sound.
69;Sustainable Aviation; Aviation practices that minimize environmental impact and promote long-term viability.
70;Blockchain; A decentralized digital ledger that records transactions across multiple computers.
