Cluster,ID
0,"[5, 103, 110, 131, 133, 161, 321, 369, 370, 412, 414, 513, 514, 556, 562, 564, 602, 669, 670, 673, 718, 754, 782, 801, 831, 866, 997, 1136]"
1,"[123, 157, 173, 213, 245, 324, 361, 411, 500, 525, 561, 651, 730, 811, 895, 903, 946, 950, 969, 1056, 1135]"
2,"[29, 48, 70, 98, 139, 148, 158, 182, 197, 204, 208, 218, 219, 239, 255, 265, 342, 372, 379, 391, 400, 418, 423, 431, 508, 517, 536, 540, 558, 568, 573, 601, 612, 617, 621, 632, 698, 908, 1012, 1049, 1080]"
3,"[53, 374, 385, 420, 438, 490, 521, 570, 584, 611, 674, 738, 747, 750, 757, 788, 850, 879, 885, 889, 938, 1008, 1045, 1084, 1104, 1126, 1139]"
4,"[33, 100, 120, 126, 183, 184, 188, 222, 289, 299, 366, 392, 470, 535, 631, 635, 705, 724, 829, 840, 936, 948, 978, 1101]"
5,"[42, 79, 149, 172, 247, 371, 519, 527, 650, 703, 773, 835, 862, 960, 966, 1075]"
6,"[56, 95, 116, 302, 305, 323, 325, 440, 444, 459, 461, 477, 493, 504, 506, 532, 533, 543, 552, 587, 728, 733, 739, 743, 798, 818, 824, 839, 848, 857, 864, 874, 878, 880, 881, 894, 944, 975, 984, 1003, 1014, 1016, 1023, 1038, 1059, 1133]"
7,"[94, 121, 175, 282, 318, 332, 353, 362, 450, 581, 593, 622, 644, 658, 665, 666, 722, 813, 826, 939, 940, 1066, 1122]"
8,"[17, 41, 58, 81, 154, 162, 165, 237, 243, 244, 278, 333, 346, 432, 466, 473, 476, 485, 491, 559, 607, 758, 790, 802, 847, 926, 934, 949, 999, 1020, 1042, 1068, 1081, 1117]"
9,"[80, 82, 129, 146, 234, 368, 419, 421, 458, 569, 571, 620, 742, 756, 1060, 1076]"
10,"[375, 759, 776, 803, 809, 836, 841, 846, 852, 860, 869, 906, 917, 927, 931, 955, 985, 990, 1011, 1015, 1037, 1069, 1074, 1103, 1107, 1108, 1110, 1132, 1134]"
11,"[51, 86, 115, 134, 150, 155, 164, 201, 205, 230, 262, 280, 286, 303, 401, 406, 408, 482, 503, 512, 530, 655, 735, 1027]"
12,"[27, 83, 89, 106, 130, 147, 293, 434, 469, 529, 537, 596, 657, 679, 720, 761, 822, 851, 900, 945, 947, 951, 976, 1114, 1124]"
13,"[217, 236, 707, 775, 828, 855, 963, 1007, 1035, 1057, 1116]"
14,"[314, 340, 355, 399, 439, 553, 592, 711, 890, 891, 914, 956, 1017, 1019]"
15,"[14, 31, 171, 174, 187, 308, 396, 451, 595, 977]"
