Cluster,Label
0,"['Luxury Goods', 'Logistics', 'Outdoor Products', 'Consumer Products', 'E-commerce Fulfillment', 'Bakery Products', 'Logistics and Distribution', 'Home Products', 'Distribution', 'Bulk Shipping', 'Transport Refrigeration', 'Logistics Services', 'Freight', 'Logistics ', 'Shipping', 'Logistics Solutions ', 'Warehousing', 'Delivery Services', 'Shipping and Logistics', 'Drayage', 'Packaged Logistics Solutions', 'Shipping Transportation']"
1,"['Energy Storage', 'Solar Energy', 'Energy Drinks', 'Energy', 'Energy Transportation', 'Energy Solutions', 'Digital Energy Storage', 'Energy Trading', 'Energy Networks', 'Customer Energy Solutions', 'Energy Services', 'Distributed Energy Networks', 'Energy Efficiency Services', 'Digital Energy Solutions', 'Energy Transport', 'Energy and Services', 'Distributed Energy', 'Smart Energy Solutions', 'Energy Internet', 'Digital Energy Solutions', 'Energy Transport', 'Energy and Services', 'Energy Efficiency Programs', 'Energy Efficiency', 'Energy Storage ', 'Energy Services ', 'Energy Devices', 'Clean Energy Solutions', 'Nuclear', 'Offshore Wind', 'New Energy Technology', 'New Energy Services', 'New Energy Materials']"
2,"['Installation Services', 'Optical Services', 'Laboratory Products and Services', 'Leasing and Factoring', 'Mobile Telecommunications', ""Alzheimer's Disease"", 'Diabetes Care', 'Mobile and Broadband Services', 'Space Exploration', 'Waste Treatment', 'Hotels', 'Application Services', 'Stock Transfer Agency Services', 'Waste Processing and Recycling', 'Hotels and Inns', 'Communications', 'Legal', 'Exhibitions', 'HR Solutions', 'Aircraft Maintenance', 'Underwriting and Risk Solutions', 'Property Management', 'Outdoor Recreation', 'Customer Services ', 'Fire Protection', 'Waste Solutions', 'Ancillary Services', 'Aftermarket Services', 'Extended Protection Plans', 'Lab Management Solutions', 'Value-Added Services', 'Military Services', 'Mobile Communications', 'Aftermarket', 'Value-Add Campuses', 'Ground Handling', 'Cannabis', 'Renovation', 'Agri', 'Memory Care', 'Sponsorship', 'Consumer Services', 'RIA Custodial Services', 'Skin Care and Hair Care', 'New Convergence Services', 'Risk Solutions', 'Airport IT Solutions', 'New Trade Services', 'Parts and Services', 'Cleaning and Hygiene', 'Promotions and Events']"
3,"['Asset Management', 'Wealth Management', 'Investment Management', 'Diabetes', 'Water Management', 'Benefits Administration', 'Webscale Routing and Automation', 'Risk Management', 'Remote Site Operations', 'Water Utilities', 'Waterworks', 'Water Solutions', 'Family Wealth Solutions', 'Hotel and Resort Operations', 'Remote Site Operations', 'Treasury', 'Records Management', 'Trust Services', 'Terminal Operations', 'Wealth Management ', 'Port Operations', 'Landfill', 'New Water Solutions', 'International Operations']"
4,"['Cybersecurity', 'Battery Management Systems', 'Product Identification', 'Data Centers', 'Missiles and Fire Control', 'Mission Systems', 'Marine Systems', 'System Semiconductors', 'Integrated Medication Management', 'Cybersecurity Solutions', 'Intelligent Driving', 'Integration Solutions', 'Server and Embedded Processors', 'Aerosystems', 'Data Centers ', 'Absence Management ', 'Cybersecurity Solutions ', 'Cybersecurity ', 'Semiconductor Display', 'Cyber Security', 'Space Systems', 'Brake and Chassis', 'Systems', 'System Integration']"
5,"['New Materials', 'Building and Industrial Materials', 'Industrial Materials', 'New Materials ', 'New Material Development', 'New Materials Development', 'New Materials and Solutions', 'New Advanced Materials', 'New Material Solutions', 'New Material Innovations', 'New Metals and Materials']"
6,"['Engineering Services', 'Digital Network Services', 'Life Services', 'Enterprise Solutions', 'Corporate Solutions', 'MRO Services', 'Hospitality Technology', 'Consulting', 'Corporate Solutions', 'Engineering Solutions', 'Engineering and R&D Services', 'Hospitality Solutions', 'Maritime Services', 'Assistance Services', 'Engineering Consulting', 'Lifecycle Services', 'Automotive Services', 'Aviation Services', 'Institutional Services', 'Consulting Services', 'Artist Services', 'New Connectivity Services', 'Services', 'Residential Services', 'Professional and Support Services', 'Peer Networking', 'Technology', 'Maritime Services ']"
7,"['Online Lending', 'Digital Workforce Solutions', 'Digital Businesses', 'Digital Wealth Management', 'Digital Mortgage Solutions', 'Digital Retail Services', 'E-learning Solutions', 'Digital Commerce Solutions', 'E-commerce and Digital Solutions', 'Digital Wealth Solutions', 'Digital Retail Solutions', 'Digital Commerce', 'iGaming', 'Digital Business Platform', 'Digital Agribusiness Platform', 'Digital Fleet Management Solutions', 'Digital and E-commerce Solutions', 'Digital Platforms ', 'Digital Fitness Solutions', 'Digital Platforms', 'Digital Retailing', 'New Internet Services', 'New Online Gaming Offerings', 'New E-Commerce Solutions']"
8,"['Sustainable Mining Solutions', 'Mining Technology', 'Smart Mining Solutions', 'Digital Mining Solutions', 'Mining', 'Mine Development', 'Sustainable Mining Solutions ', 'Sustainable Mining', 'New Metals and Mining Ventures', 'New Mining Ventures', 'New Mining Projects']"
9,"['Cryptocurrency Services', 'Fintech Services', 'Fintech', 'Retirement Planning', 'Shipping Finance', 'Retirement Services', 'Student Loans', 'Aircraft and Ship Financing', 'Payment Solutions', 'Capital Formation Solutions', 'Fintech Solutions', 'Consumer Finance', 'Transfer Services', 'Index Products', 'FinTech Solutions ', 'Financial Inclusion ', 'Fintech Partnerships', 'FinTech Solutions', 'Credit Solutions', 'Index Services', 'Payments', 'New Financial Services', 'Financial Solutions', 'New Financial Technology', 'New Financial Solutions', 'Finance Solutions', 'Financial Inclusion', 'Crypto Investing Products', 'Fixed Income', 'Private Asset Solutions', 'New Financial Wellness Offerings', 'New Financial Wellness Solutions', 'New Digital Financial Services', 'Payment Systems', 'New Financial Infrastructure']"
